,SPY,QQQ,EEM,VT,ESGV,VSGX,VTI,GLD,cash_balance,total_value
2019-12-31,10,5,0,0,0,0,0,0,10000.0,14281.649856567383
2020-01-01,10,5,0,0,0,0,0,0,10000.0,14281.649856567383
2020-01-02,10,5,0,0,0,0,0,0,10000.0,14329.499969482422
2020-01-03,10,5,0,0,0,0,0,0,10000.0,14295.0
2020-01-04,10,5,0,0,0,0,0,0,10000.0,14295.0
2020-01-05,10,5,0,0,0,0,0,0,10000.0,14295.0
2020-01-06,10,5,0,0,0,0,0,0,10000.0,14314.200134277344
2020-01-07,10,5,0,0,0,0,0,0,10000.0,14304.950103759766
2020-01-08,10,5,0,0,0,0,0,0,10000.0,14330.250091552734
2020-01-09,10,5,0,0,0,0,0,0,10000.0,14361.449966430664
2020-01-10,10,5,0,0,0,0,0,0,10000.0,14349.249877929688
2020-01-11,10,5,0,0,0,0,0,0,10000.0,14349.249877929688
2020-01-12,10,5,0,0,0,0,0,0,10000.0,14349.249877929688
2020-01-13,10,5,0,0,0,0,0,0,10000.0,14384.250106811523
2020-01-14,10,5,0,0,0,0,0,0,10000.0,14374.900131225586
2020-01-15,10,5,0,0,0,0,0,0,10000.0,14382.750015258789
2020-01-16,10,5,0,0,0,0,0,0,10000.0,14420.600128173828
2020-01-17,10,5,0,0,0,0,0,0,10000.0,14436.400146484375
2020-01-18,10,5,0,0,0,0,0,0,10000.0,14436.400146484375
2020-01-19,10,5,0,0,0,0,0,0,10000.0,14436.400146484375
2020-01-20,10,5,0,0,0,0,0,0,10000.0,14436.400146484375
2020-01-21,10,5,0,0,0,0,0,0,10000.0,14429.399871826172
2020-01-22,10,5,0,0,0,0,0,0,10000.0,14432.749938964844
2020-01-23,10,5,0,0,0,0,0,0,10000.0,14440.149993896484
2020-01-24,10,5,0,0,0,0,0,0,10000.0,14401.19987487793
2020-01-25,10,5,0,0,0,0,0,0,10000.0,14401.19987487793
2020-01-26,10,5,0,0,0,0,0,0,10000.0,14401.19987487793
2020-01-27,10,5,0,0,0,0,0,0,10000.0,14325.500030517578
2020-01-28,10,5,0,0,0,0,0,0,10000.0,14376.150131225586
2020-01-29,10,5,0,0,0,0,0,0,10000.0,14375.249938964844
2020-01-30,10,5,0,0,0,0,0,0,10000.0,14389.79995727539
2020-01-31,10,5,0,0,0,0,0,0,10000.0,14312.650146484375
2020-02-01,10,5,0,0,0,0,0,0,10000.0,14312.650146484375
2020-02-02,10,5,0,0,0,0,0,0,10000.0,14312.650146484375
2020-02-03,10,5,0,0,0,0,0,0,10000.0,14353.099975585938
2020-02-04,10,5,0,0,0,0,0,0,10000.0,14427.949981689453
2020-02-05,10,5,0,0,0,0,0,0,10000.0,14469.69985961914
2020-02-06,10,5,0,0,0,0,0,0,10000.0,14490.750122070312
2020-02-07,10,5,0,0,0,0,0,0,10000.0,14468.000106811523
2020-02-08,10,5,0,0,0,0,0,0,10000.0,14468.000106811523
2020-02-09,10,5,0,0,0,0,0,0,10000.0,14468.000106811523
2020-02-10,10,5,0,0,0,0,0,0,10000.0,14506.649932861328
2020-02-11,10,5,0,0,0,0,0,0,10000.0,14512.65007019043
2020-02-12,10,5,0,0,0,0,0,0,10000.0,14545.550155639648
2020-02-13,10,5,0,0,0,0,0,0,10000.0,14540.449981689453
2020-02-14,10,5,0,0,0,0,0,0,10000.0,14549.200057983398
2020-02-15,10,5,0,0,0,0,0,0,10000.0,14549.200057983398
2020-02-16,10,5,0,0,0,0,0,0,10000.0,14549.200057983398
2020-02-17,10,5,0,0,0,0,0,0,10000.0,14549.200057983398
2020-02-18,10,5,0,0,0,0,0,0,10000.0,14540.950088500977
2020-02-19,10,5,0,0,0,0,0,0,10000.0,14568.299942016602
2020-02-20,10,5,0,0,0,0,0,0,10000.0,14543.400115966797
2020-02-21,10,5,0,0,0,0,0,0,10000.0,14486.150131225586
2020-02-22,10,5,0,0,0,0,0,0,10000.0,14486.150131225586
2020-02-23,10,5,0,0,0,0,0,0,10000.0,14486.150131225586
2020-02-24,10,5,0,0,0,0,0,0,10000.0,14331.150131225586
2020-02-25,10,5,0,0,0,0,0,0,10000.0,14203.349914550781
2020-02-26,10,5,0,0,0,0,0,0,10000.0,14197.399978637695
2020-02-27,10,5,0,0,0,0,0,0,10000.0,14003.300094604492
2020-02-28,10,5,0,0,0,0,0,0,10000.0,13991.600112915039
2020-02-29,10,5,0,0,0,0,0,0,10000.0,13991.600112915039
2020-03-01,10,5,0,0,0,0,0,0,10000.0,13991.600112915039
2020-03-02,10,5,0,0,0,0,0,0,10000.0,14172.999954223633
2020-03-03,10,5,0,0,0,0,0,0,10000.0,14049.799880981445
2020-03-04,10,5,0,0,0,0,0,0,10000.0,14219.69985961914
2020-03-05,10,5,0,0,0,0,0,0,10000.0,14082.549896240234
2020-03-06,10,5,0,0,0,0,0,0,10000.0,14014.699935913086
2020-03-07,10,5,0,0,0,0,0,0,10000.0,14014.699935913086
2020-03-08,10,5,0,0,0,0,0,0,10000.0,14014.699935913086
2020-03-09,10,5,0,0,0,0,0,0,10000.0,13710.150146484375
2020-03-10,10,5,0,0,0,0,0,0,10000.0,13904.750137329102
2020-03-11,10,5,0,0,0,0,0,0,10000.0,13719.69985961914
2020-03-12,10,5,0,0,0,0,0,0,10000.0,13367.70004272461
2020-03-13,10,5,0,0,0,0,0,0,10000.0,13654.90005493164
2020-03-14,10,5,0,0,0,0,0,0,10000.0,13654.90005493164
2020-03-15,10,5,0,0,0,0,0,0,10000.0,13654.90005493164
2020-03-16,10,5,0,0,0,0,0,0,10000.0,13245.000076293945
2020-03-17,10,5,0,0,0,0,0,0,10000.0,13438.70002746582
2020-03-18,10,5,0,0,0,0,0,0,10000.0,13283.000030517578
2020-03-19,10,5,0,0,0,0,0,0,10000.0,13293.399963378906
2020-03-20,10,5,0,0,0,0,0,0,10000.0,13141.500015258789
2020-03-21,10,5,0,0,0,0,0,0,10000.0,13141.500015258789
2020-03-22,10,5,0,0,0,0,0,0,10000.0,13141.500015258789
2020-03-23,10,5,0,0,0,0,0,0,10000.0,13081.800003051758
2020-03-24,10,5,0,0,0,0,0,0,10000.0,13349.79995727539
2020-03-25,10,5,0,0,0,0,0,0,10000.0,13379.399948120117
2020-03-26,10,5,0,0,0,0,0,0,10000.0,13571.500091552734
2020-03-27,10,5,0,0,0,0,0,0,10000.0,13460.699996948242
2020-03-28,10,5,0,0,0,0,0,0,10000.0,13460.699996948242
2020-03-29,10,5,0,0,0,0,0,0,10000.0,13460.699996948242
2020-03-30,10,5,0,0,0,0,0,0,10000.0,13576.699905395508
2020-03-31,10,5,0,0,0,0,0,0,10000.0,13529.499969482422
2020-04-01,10,5,0,0,0,0,0,0,10000.0,13373.049926757812
2020-04-02,10,5,0,0,0,0,0,0,10000.0,13448.349990844727
2020-04-03,10,5,0,0,0,0,0,0,10000.0,13398.75
2020-04-04,10,5,0,0,0,0,0,0,10000.0,13398.75
2020-04-05,10,5,0,0,0,0,0,0,10000.0,13398.75
2020-04-06,10,5,0,0,0,0,0,0,10000.0,13630.99983215332
2020-04-07,10,5,0,0,0,0,0,0,10000.0,13633.300018310547
2020-04-08,10,5,0,0,0,0,0,0,10000.0,13743.150024414062
2020-04-09,10,5,0,0,0,0,0,0,10000.0,13786.30012512207
2020-04-10,10,5,0,0,0,0,0,0,10000.0,13786.30012512207
2020-04-11,10,5,0,0,0,0,0,0,10000.0,13786.30012512207
2020-04-12,10,5,0,0,0,0,0,0,10000.0,13786.30012512207
2020-04-13,10,5,0,0,0,0,0,0,10000.0,13771.750030517578
2020-04-14,10,5,0,0,0,0,0,0,10000.0,13897.200088500977
2020-04-15,10,5,0,0,0,0,0,0,10000.0,13824.750061035156
2020-04-16,10,5,0,0,0,0,0,0,10000.0,13857.250061035156
2020-04-17,10,5,0,0,0,0,0,0,10000.0,13942.850112915039
2020-04-18,10,5,0,0,0,0,0,0,10000.0,13942.850112915039
2020-04-19,10,5,0,0,0,0,0,0,10000.0,13942.850112915039
2020-04-20,10,5,0,0,0,0,0,0,10000.0,13879.599990844727
2020-04-21,10,5,0,0,0,0,0,0,10000.0,13754.850082397461
2020-04-22,10,5,0,0,0,0,0,0,10000.0,13845.850067138672
2020-04-23,10,5,0,0,0,0,0,0,10000.0,13843.399887084961
2020-04-24,10,5,0,0,0,0,0,0,10000.0,13898.899993896484
2020-04-25,10,5,0,0,0,0,0,0,10000.0,13898.899993896484
2020-04-26,10,5,0,0,0,0,0,0,10000.0,13898.899993896484
2020-04-27,10,5,0,0,0,0,0,0,10000.0,13948.299865722656
2020-04-28,10,5,0,0,0,0,0,0,10000.0,13914.800109863281
2020-04-29,10,5,0,0,0,0,0,0,10000.0,14027.099914550781
2020-04-30,10,5,0,0,0,0,0,0,10000.0,13999.350128173828
